ticker,date,average,volume
PETR4,2024-01-02,37.66,905513838.0
PETR4,2024-01-03,38.56,2016962803.0
PETR4,2024-01-04,38.99,1768450856.0
PETR4,2024-01-05,38.79,1388296899.0
PETR4,2024-01-08,38.0,1336206062.0
PETR4,2024-01-09,38.25,1043653479.0
PETR4,2024-01-10,37.77,1034479208.0
PETR4,2024-01-11,37.95,1008256420.0
PETR4,2024-01-12,38.41,940340503.0
PETR4,2024-01-15,38.36,530157223.0
PETR4,2024-01-16,38.27,1197258435.0
PETR4,2024-01-17,37.95,1046707221.0
PETR4,2024-01-18,37.76,868209306.0
PETR4,2024-01-19,37.51,1161928492.0
PETR4,2024-01-22,37.62,856092367.0
PETR4,2024-01-23,37.95,1233321489.0
PETR4,2024-01-24,38.13,969269476.0
PETR4,2024-01-25,38.8,1888134616.0
PETR4,2024-01-26,39.72,1643701990.0
PETR4,2024-01-29,40.24,1229405382.0
PETR4,2024-01-30,40.37,1406317832.0
PETR4,2024-01-31,40.67,2378972764.0
PETR4,2024-02-01,41.35,2548906665.0
PETR4,2024-02-02,41.33,1508064304.0
PETR4,2024-02-05,41.3,1135957534.0
PETR4,2024-02-06,41.86,1485299379.0
PETR4,2024-02-07,41.9,1284316314.0
PETR4,2024-02-08,42.12,1077965838.0
PETR4,2024-02-09,41.71,1266014349.0
PETR4,2024-02-14,41.1,752816937.0
PETR4,2024-02-15,41.61,1383392578.0
PETR4,2024-02-16,42.64,1585876820.0
PETR4,2024-02-19,42.8,549069122.0
PETR4,2024-02-20,42.39,1796543046.0
PETR4,2024-02-21,42.44,886083838.0
PETR4,2024-02-22,42.11,1354685243.0
PETR4,2024-02-23,41.99,1843246609.0
PETR4,2024-02-26,42.46,1099152786.0
PETR4,2024-02-27,42.6,1179241305.0
PETR4,2024-02-28,41.14,4621824337.0
PETR4,2024-02-29,40.33,2496872571.0
PETR4,2024-03-01,40.47,1264442373.0
PETR4,2024-03-04,40.28,885866880.0
PETR4,2024-03-05,39.98,1211306942.0
PETR4,2024-03-06,40.54,1843886856.0
PETR4,2024-03-07,40.51,2033633664.0
PETR4,2024-03-08,36.17,8333685125.0
PETR4,2024-03-11,36.32,4632691309.0
PETR4,2024-03-12,36.7,2794792311.0
PETR4,2024-03-13,36.7,1656883040.0
PETR4,2024-03-14,36.43,1456887727.0
PETR4,2024-03-15,36.21,2141016817.0
PETR4,2024-03-18,36.07,1274552061.0
PETR4,2024-03-19,36.3,1762050056.0
PETR4,2024-03-20,36.29,1416217833.0
PETR4,2024-03-21,36.11,1705165037.0
PETR4,2024-03-22,35.9,1236104699.0
PETR4,2024-03-25,36.51,984253276.0
PETR4,2024-03-26,36.35,902977377.0
PETR4,2024-03-27,36.43,728538499.0
PETR4,2024-03-28,37.12,1186580539.0
PETR4,2024-04-01,37.49,888527375.0
PETR4,2024-04-02,38.25,1757290383.0
PETR4,2024-04-03,38.5,1210506567.0
PETR4,2024-04-04,38.64,6399041382.0
PETR4,2024-04-05,37.9,2480996510.0
PETR4,2024-04-08,38.39,1397021154.0
PETR4,2024-04-09,38.59,1427764564.0
PETR4,2024-04-10,39.38,2198726567.0
PETR4,2024-04-11,39.44,1309448484.0
PETR4,2024-04-12,39.31,1556892269.0
PETR4,2024-04-15,39.16,1123807639.0
PETR4,2024-04-16,39.4,1470056428.0
PETR4,2024-04-17,39.67,1556244350.0
PETR4,2024-04-18,40.06,1806151715.0
PETR4,2024-04-19,40.62,3270038108.0
PETR4,2024-04-22,41.17,2132112391.0
PETR4,2024-04-23,41.32,1465268530.0
PETR4,2024-04-24,41.45,1881525718.0
PETR4,2024-04-25,41.68,2766933114.0
PETR4,2024-04-26,41.47,1322632547.0
PETR4,2024-04-29,41.78,1165151259.0
PETR4,2024-04-30,41.89,1534831992.0
PETR4,2024-05-02,42.13,1400813585.0
PETR4,2024-05-03,39.87,1798151380.0
PETR4,2024-05-06,40.13,922301746.0
PETR4,2024-05-07,40.45,963235042.0
PETR4,2024-05-08,41.0,1039452397.0
PETR4,2024-05-09,41.41,1126790802.0
PETR4,2024-05-10,41.72,1165815931.0
PETR4,2024-05-13,41.67,766633217.0
PETR4,2024-05-14,40.82,2188941410.0
PETR4,2024-05-15,38.18,5013250148.0
PETR4,2024-05-16,37.65,3132071916.0
PETR4,2024-05-17,36.8,2473470544.0
PETR4,2024-05-20,36.85,1488885033.0
PETR4,2024-05-21,36.81,1029538227.0
PETR4,2024-05-22,36.97,1350741770.0
PETR4,2024-05-23,37.15,1782791569.0
PETR4,2024-05-24,36.8,870276334.0
PETR4,2024-05-27,36.93,503136129.0
PETR4,2024-05-28,37.87,1758632882.0
PETR4,2024-05-29,37.71,1103048718.0
PETR4,2024-05-31,38.5,2076429958.0
PETR4,2024-06-03,38.65,1679575458.0
PETR4,2024-06-04,38.02,1296187645.0
PETR4,2024-06-05,38.24,712430106.0
PETR4,2024-06-06,38.51,999325145.0
PETR4,2024-06-07,37.57,1726288847.0
PETR4,2024-06-10,37.68,1227166538.0
PETR4,2024-06-11,37.69,1173401499.0
PETR4,2024-06-12,36.13,1885737794.0
PETR4,2024-06-13,35.47,1640148584.0
PETR4,2024-06-14,34.85,1865342113.0
PETR4,2024-06-17,34.75,1422860888.0
PETR4,2024-06-18,35.67,1290601327.0
PETR4,2024-06-19,35.84,744678441.0
PETR4,2024-06-20,36.58,1442875809.0
PETR4,2024-06-21,36.71,1590901590.0
PETR4,2024-06-24,36.82,905846467.0
PETR4,2024-06-25,36.93,686061771.0
PETR4,2024-06-26,36.94,944165062.0
PETR4,2024-06-27,37.63,1420139848.0
PETR4,2024-06-28,37.97,836216366.0
